Date,Open,High,Low,Close,Volume,Currency
3/18/2014,1367.1,1367.9,1351.1,1359,157502,USD
3/19/2014,1356.1,1360.2,1327.8,1341.3,194615,USD
3/20/2014,1331.7,1335.3,1320.8,1330.5,167021,USD
3/21/2014,1329.3,1343,1328,1336,148313,USD
3/24/2014,1335,1335.7,1308.5,1311.2,178475,USD
3/25/2014,1309.7,1318,1306,1311.4,158346,USD
3/26/2014,1312.1,1317.1,1299.3,1303.4,151503,USD
3/27/2014,1305.5,1307.6,1289.6,1294.7,185016,USD
3/28/2014,1292.3,1299.4,1286.1,1294.3,171316,USD
3/31/2014,1295,1299.3,1282.7,1283.8,133250,USD
4/1/2014,1284.6,1288.4,1277.4,1280,112918,USD
4/2/2014,1279.6,1294.9,1278.9,1290.8,124467,USD
4/3/2014,1290.4,1294.2,1281.9,1284.6,98672,USD
4/4/2014,1286.6,1307.5,1284.4,1303.5,145500,USD
4/7/2014,1304,1304.8,1295.8,1298.3,80277,USD
4/8/2014,1296.8,1314.7,1296.8,1309.1,119225,USD
4/9/2014,1308.5,1315.5,1301.1,1305.9,125580,USD
4/10/2014,1311.9,1324.9,1311,1320.5,126709,USD
4/11/2014,1318.1,1324.2,1314,1319,91859,USD
4/14/2014,1321,1331.4,1318.7,1327.5,100334,USD
4/15/2014,1326.5,1328.4,1284.4,1300.3,188991,USD
4/16/2014,1303.2,1307.1,1293.5,1303.5,117468,USD
4/17/2014,1302.1,1304.4,1292.8,1293.9,95708,USD
4/21/2014,1294.9,1302.5,1281.8,1288.5,101889,USD
4/22/2014,1290.3,1293.1,1275.8,1281.1,118730,USD
4/23/2014,1284,1289.1,1280.8,1284.6,98441,USD
4/24/2014,1283.9,1299,1268.4,1290.6,189289,USD
4/25/2014,1293.8,1305.2,1290.4,1300.8,107958,USD
4/28/2014,1303.2,1306.6,1292.1,1299,102409,USD
4/29/2014,1296,1302,1286.1,1296.3,103817,USD
4/30/2014,1295.6,1298.4,1284.9,1295.9,139271,USD
5/1/2014,1291.9,1293,1277.3,1283.4,115436,USD
5/2/2014,1284.7,1304.9,1272,1302.9,171945,USD
