Date,Open,High,Low,Close,Adj Close,Volume
5-Oct-12,"1,461.40","1,470.96","1,456.89",1460.93,"1,460.93","3,172,940,000"
4-Oct-12,"1,451.08","1,463.14","1,451.08",1461.40,"1,461.40","3,615,860,000"
3-Oct-12,"1,446.05","1,454.30","1,441.99",1450.99,"1,450.99","3,531,640,000"
2-Oct-12,"1,444.99","1,451.52","1,439.01",1445.75,"1,445.75","3,321,790,000"
1-Oct-12,"1,440.90","1,457.14","1,440.90",1444.49,"1,444.49","3,505,080,000"
28-Sep-12,"1,447.13","1,447.13","1,435.60",1440.67,"1,440.67","3,509,230,000"
27-Sep-12,"1,433.36","1,450.20","1,433.36",1447.15,"1,447.15","3,150,330,000"
26-Sep-12,"1,441.60","1,441.60","1,430.53",1433.32,"1,433.32","3,565,380,000"
25-Sep-12,"1,456.94","1,463.24","1,441.59",1441.59,"1,441.59","3,739,900,000"
24-Sep-12,"1,459.76","1,460.72","1,452.06",1456.89,"1,456.89","3,008,920,000"
21-Sep-12,"1,460.34","1,467.07","1,459.51",1460.15,"1,460.15","4,833,870,000"
20-Sep-12,"1,461.05","1,461.23","1,449.98",1460.26,"1,460.26","3,382,520,000"
19-Sep-12,"1,459.50","1,465.15","1,457.88",1461.05,"1,461.05","3,451,360,000"
18-Sep-12,"1,461.19","1,461.47","1,456.13",1459.32,"1,459.32","3,377,390,000"
17-Sep-12,"1,465.42","1,465.63","1,457.55",1461.19,"1,461.19","3,482,430,000"
14-Sep-12,"1,460.07","1,474.51","1,460.07",1465.77,"1,465.77","5,041,990,000"
13-Sep-12,"1,436.56","1,463.76","1,435.34",1459.99,"1,459.99","4,606,550,000"
12-Sep-12,"1,433.56","1,439.15","1,432.99",1436.56,"1,436.56","3,641,200,000"
11-Sep-12,"1,429.13","1,437.76","1,429.13",1433.56,"1,433.56","3,509,630,000"
10-Sep-12,"1,437.92","1,438.74","1,428.98",1429.08,"1,429.08","3,223,670,000"
7-Sep-12,"1,432.12","1,437.92","1,431.45",1437.92,"1,437.92","3,717,620,000"
6-Sep-12,"1,403.74","1,432.12","1,403.74",1432.12,"1,432.12","3,952,870,000"
5-Sep-12,"1,404.94","1,408.81","1,401.25",1403.44,"1,403.44","3,389,110,000"
