Start,End,Open,High,Low,Close,Volume,Market Cap
2019-08-11,2019-08-12,11328.601603036,11555.775899235,11217.137141763,11555.775899235,16761977263.13256,203827765926.7899
2019-08-10,2019-08-11,11857.758763219,11925.963231215,11295.234140884,11342.468601716,18152460610.384895,207357375669.92334
2019-08-09,2019-08-10,11996.200097433,12009.137000253,11700.385827153,11857.844469936,19543454030.080833,211383118413.60764
2019-08-08,2019-08-09,11956.413469853,12019.255358112,11578.318745384,12019.255358112,22377247560.36519,211136073366.833
2019-08-07,2019-08-08,11482.916490667,12066.947311806,11420.597179321,11976.654827569,22446298528.389225,209269506133.8481
2019-08-06,2019-08-07,11761.234810127,12193.908318243,11277.734510391,11497.062684201,23990902866.159775,209735605734.82855
2019-08-05,2019-08-06,10930.662455659,11859.169270878,10930.662455659,11782.652143549,23155275141.939342,207292891050.94534
2019-08-04,2019-08-05,10813.82497436,10986.00769305,10606.246749694,10948.187619903,14938219499.702148,192735973142.64496
2019-08-03,2019-08-04,10518.066542715,10884.267576921,10498.519094738,10806.817073981,16337356059.882215,192292599839.881
2019-08-02,2019-08-03,10369.531247597,10639.945262932,10334.616880697,10523.946375083,16564062363.329533,186767953330.85336
2019-08-01,2019-08-02,10084.110571105,10413.404931384,9918.184550011,10365.984725445,15574445805.08076,179912921044.57043
2019-07-31,2019-08-01,9587.872869773,10080.086121152,9578.650928445,10080.086121152,14733945730.089369,175834797519.9861
2019-07-30,2019-07-31,9530.152924899,9691.960963276,9439.241217675,9581.211677756,13292546258.165554,170513743849.4361
2019-07-29,2019-07-30,9550.402969336,9681.389066583,9484.519080794,9533.580410388,14869050391.80669,170777155925.78638
2019-07-28,2019-07-29,9493.990306474,9588.298625648,9262.952718454,9545.094701172,13710929707.424322,169844801165.48
2019-07-27,2019-07-28,9841.276385398,10143.104188821,9422.807598267,9464.99772889,15513188410.016273,173788537617.2948
2019-07-26,2019-07-27,9902.672559485,9902.672559485,9712.555671751,9845.987421977,14591296766.522284,174577181022.34143
2019-07-25,2019-07-26,9782.593812589,10149.16495882,9767.129919657,9904.696184087,17073063493.31741,178755532314.1114
2019-07-24,2019-07-25,9878.522290743,9919.107224027,9600.322775942,9807.414231018,17530908626.100945,173406096911.51843
2019-07-23,2019-07-24,10346.190304607,10346.190304607,9878.81553022,9916.381213641,17300369515.33527,180079201843.40924
2019-07-22,2019-07-23,10592.217243,10654.549992187,10175.295314143,10338.58841438,16471991873.28206,186522493577.24948
2019-07-21,2019-07-22,10746.433378123,10808.75818775,10362.648158675,10596.355696901,18416083690.096504,188557822332.72574
2019-07-20,2019-07-21,10516.580157264,11025.857309485,10437.695106868,10764.700850569,20201960906.578205,189930583907.99713
2019-07-19,2019-07-20,10631.69338686,10696.434230342,10225.694043316,10511.695476388,24758188144.599102,186452733435.31656
2019-07-18,2019-07-19,9677.323024453,10701.623245608,9364.276558339,10629.023332162,25669828327.11842,178832953360.38275
2019-07-17,2019-07-18,9450.356040111,9922.43590581,9134.258910507,9643.71473555,27039875821.842934,170647752713.08215
2019-07-16,2019-07-17,10857.079408258,10996.635592681,9448.365403112,9499.558669446,22885732736.462265,184954640677.58246
2019-07-15,2019-07-16,10227.417501092,11029.553923539,10041.932583832,10885.588450999,25212827648.406937,186038099203.48392
2019-07-14,2019-07-15,11394.840697713,11458.269526704,10288.853124064,10288.853124064,21875939390.039207,194795554759.58752
2019-07-13,2019-07-14,11776.781109921,11805.291467888,10946.06900241,11397.161429518,20445438956.573074,204093366917.96985
2019-07-12,2019-07-13,11385.977039629,11850.916746255,11187.860644737,11776.082435848,26435460614.572063,206420409982.24255
2019-07-11,2019-07-12,12124.389791281,12124.389791281,11143.890313031,11376.679394568,31764845898.085747,206612976421.50314
2019-07-10,2019-07-11,12557.93153086,13101.374226015,11718.181749561,12147.697759751,28216117506.435875,225243638649.38342
2019-07-09,2019-07-10,12243.719554925,12763.929091832,12186.139359644,12545.445221221,25893451652.754112,222356134150.81927
2019-07-08,2019-07-09,11450.359933415,12297.060156092,11358.017300254,12248.874131725,19668175501.84159,209256337370.56442
2019-07-07,2019-07-08,11279.686940232,11550.671929601,11174.758166612,11441.622695658,18626823366.133514,201538268812.9855
2019-07-06,2019-07-07,10997.057218163,11630.409594487,10997.057218163,11266.401344947,21458791317.534348,202811565629.56488
2019-07-05,2019-07-06,11216.015051262,11388.098208424,10872.022472643,10980.083327779,23396188922.9593,198662801324.2921
2019-07-04,2019-07-05,11953.648746702,11992.496247476,11178.99897539,11221.25555658,26219102229.701763,208883657113.70435
2019-07-03,2019-07-04,10839.724966902,11943.629838735,10839.724966902,11943.629838735,28538254833.797066,201536332812.3274
2019-07-02,2019-07-03,10635.86599655,10910.542694381,9778.404061006,10818.18811951,28317668491.890404,184261578884.9075
2019-07-01,2019-07-02,10908.296655923,11294.555996308,10097.196022324,10638.003271271,26320633200.00246,191842566811.84317
2019-06-30,2019-07-01,12106.219065156,12309.501284794,10912.255934044,10912.255934044,25096318919.276333,207161133844.26282
2019-06-29,2019-06-30,12492.976245357,12492.976245357,11653.208816827,12097.567788411,30639783682.660156,213784311075.03958
2019-06-28,2019-06-29,11297.158058703,12529.344002306,11019.356262506,12482.409959829,41124037815.80567,210083846667.02185
2019-06-27,2019-06-28,13141.89675185,13444.811410696,10574.654321285,11237.076652763,44905142219.08265,213407565688.18118
2019-06-26,2019-06-27,11794.470008238,13967.862276815,11772.134193991,13112.782536123,34129035518.425415,226915550517.83417
2019-06-25,2019-06-26,11013.875187462,11810.127825701,11013.875187462,11810.127825701,22324164886.01128,201653245702.98978
2019-06-24,2019-06-25,10899.114587489,11072.753380556,10679.372837767,11013.963603928,21896313108.86441,193484767882.86697
2019-06-23,2019-06-24,10717.06273697,11204.170999299,10585.083730998,10880.051309618,25456978245.08755,191698592970.2239
2019-06-22,2019-06-23,10227.362383055,11154.878298083,10128.357139209,10719.807804423,28282491558.07023,190622440830.3529
2019-06-21,2019-06-22,9590.2082253,10162.203698127,9590.2082253,10162.203698127,20625984836.08303,174952029444.0599
2019-06-20,2019-06-21,9310.156899543,9634.463338388,9299.436433025,9589.390555221,16672354916.323616,167255381780.43146
2019-06-19,2019-06-20,9129.651002395,9328.237785968,9111.404748221,9311.883211721,17298750490.888557,163497631681.06506
2019-06-18,2019-06-19,9341.199474731,9353.32056726,9042.990003328,9125.090764169,18912820365.162624,163376166883.90408
2019-06-17,2019-06-18,9026.522571994,9403.695555879,9026.522571994,9328.082235709,18094529601.113903,164175861821.78784
2019-06-16,2019-06-17,8861.692265355,9391.965327231,8839.579216261,9025.723641831,18436066643.880177,161844700234.68286
2019-06-15,2019-06-16,8708.232513039,8880.23284317,8651.785868277,8859.597053629,16984569782.558699,155416054330.53067
2019-06-14,2019-06-15,8291.198962219,8734.624600079,8253.963495841,8696.970842738,16288944559.697744,149333479722.07343
2019-06-13,2019-06-14,8174.400584225,8368.744385691,8135.076369052,8286.913173816,15422325292.94472,145894345153.28607
2019-06-12,2019-06-13,7969.985301593,8191.895037148,7900.587729118,8159.590368523,15774624962.912903,143100445236.17267
2019-06-11,2019-06-12,8014.897946837,8025.31929234,7817.896081731,7962.756329737,15541222888.974173,140949520901.68744
2019-06-10,2019-06-11,7752.220272896,8050.146086236,7635.914553819,8000.570019137,15727304861.609226,139500284027.4981
2019-06-09,2019-06-10,7979.720898905,8001.182588562,7713.072533886,7750.808728267,14008185776.071651,140054303146.46033
2019-06-08,2019-06-09,8060.736271864,8096.736821456,7883.568612159,7974.683977197,15038837205.737192,141833433831.6202
2019-06-07,2019-06-08,7840.578080515,8116.89009633,7801.596203718,8070.900978356,17246216211.18947,141378130721.44824
2019-06-06,2019-06-07,7863.512301938,7913.658342535,7623.176900011,7846.273224235,16990627606.718157,138536087018.11075
2019-06-05,2019-06-06,7768.517747861,7919.574241385,7714.461245668,7860.506170985,19825003009.66125,139046935244.21533
2019-06-04,2019-06-05,8341.434666054,8341.434666054,7651.972247475,7760.01105779,20969240896.531845,141547784633.67584
2019-06-03,2019-06-04,8771.296312752,8771.296312752,8362.955080545,8362.955080545,18154175843.1599,153083105420.32123
2019-06-02,2019-06-03,8598.78500222,8806.181716754,8586.830124871,8781.231372894,18710649783.654823,154255226095.6599
2019-06-01,2019-06-02,8599.053486258,8634.384312171,8522.97723213,8596.109824225,20501225809.90437,152203061804.66742
2019-05-31,2019-06-01,8333.864737938,8613.058555746,8217.012517843,8606.278615403,24501009081.270878,149276268936.70712
2019-05-30,2019-05-31,8669.269146886,8991.45418257,8306.121949591,8380.86840038,21699755031.930237,153674388531.28363
2019-05-29,2019-05-30,8719.9617362,8766.059974977,8549.555400527,8672.98537276,20269010722.989845,153748374656.36322
2019-05-28,2019-05-29,8836.762648241,8849.546725109,8647.460499139,8721.6157416,22507477393.193554,155050849963.2602
2019-05-27,2019-05-28,8751.57317691,8969.151504594,8652.925343603,8857.096555519,24518403981.585266,156095071352.9701
2019-05-26,2019-05-27,8101.121878369,8762.008200617,7971.658538311,8736.628563948,16480490604.981249,144622180906.139
2019-05-25,2019-05-26,8023.417666592,8137.406250807,7991.341944201,8104.73204645,18344447274.708878,142946415244.66818
2019-05-24,2019-05-25,7922.301226611,8134.670180783,7858.212310867,8021.477876494,17941265219.883144,141677828468.26663
2019-05-23,2019-05-24,7730.828702835,7987.269266548,7579.508192006,7919.729554358,18641365509.493183,137436595893.1259
2019-05-22,2019-05-23,7965.942975048,8010.772118223,7731.159044375,7744.861886829,17943842530.680466,140394573940.01776
2019-05-21,2019-05-22,8004.576724034,8090.522839454,7864.922724498,7984.314133126,18657102217.17845,141099127973.80606
2019-05-20,2019-05-21,8172.974801761,8172.974801761,7715.421068381,8004.459953952,19473852816.947174,140450860101.56628
2019-05-19,2019-05-20,7328.418962598,8237.723663509,7328.418962598,8186.662732404,18965835929.185444,140199101489.5413
2019-05-18,2019-05-19,7393.579773489,7511.650425797,7295.380303288,7332.609911221,20358130230.13385,130597276787.70152
2019-05-17,2019-05-18,7923.05133892,7961.08326911,7083.26499268,7382.337789468,24863829847.22632,129826835593.67896
2019-05-16,2019-05-17,8145.555620727,8318.802551283,7795.804840835,7918.875904937,26901315141.97368,141797888356.1902
2019-05-15,2019-05-16,8002.661523871,8181.247379068,7867.372970654,8181.247379068,24854975386.988277,142098738222.12274
2019-05-14,2019-05-15,7797.7392335,8260.695888689,7711.297934298,8028.236494406,26411583702.337494,141283832937.33533
2019-05-13,2019-05-14,7010.551665358,8054.538413923,6941.761153096,7813.193116445,23280120723.99534,130736126549.27655
2019-05-12,2019-05-13,7201.642617775,7510.847160734,6844.12606548,6992.035883656,27817884903.013718,126665956942.93056
2019-05-11,2019-05-12,6393.002585585,7342.598761177,6391.280169946,7235.877636404,21851165450.129826,120331366139.72372
2019-05-10,2019-05-11,6184.921253719,6429.716712429,6174.133217691,6386.691489533,12050097748.868092,111855473445.28781
2019-05-09,2019-05-10,5973.099793055,6196.673171019,5973.099793055,6187.660821162,10212135035.336254,107700187588.77213
2019-05-08,2019-05-09,5835.957517321,5973.935495865,5798.867412876,5973.935495865,10256612131.840769,104312284389.96187
2019-05-07,2019-05-08,5740.528083725,5992.989650411,5739.282096674,5855.204284185,11666659860.559153,104603047921.53436
2019-05-06,2019-05-07,5772.581488954,5782.449597263,5653.180375054,5742.762539512,13146879015.17897,101114541293.67438
